City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,penha,-26.7694,-48.6458,27.72,69,75,6.17,BR,1738272531
147,mar del plata,-38.0023,-57.5575,25.01,74,0,8.23,AR,1738272532
148,kingscliff,-28.2667,153.5667,26.08,78,20,3.09,AU,1738272533
149,lewiston orchards,46.3804,-116.9754,10.48,38,44,2.02,US,1738272534
150,monterrey,25.6667,-100.3167,23.95,71,51,2.64,MX,1738271965
151,chibougamau,49.9168,-74.3659,-19.21,78,100,4.12,CA,1738272538
152,puerto armuelles,8.2833,-82.8667,28.94,70,27,3.58,PA,1738272539
153,guerrero negro,27.9769,-114.0611,16.41,58,0,6.2,MX,1738272540
154,yulinshi,38.2906,109.7494,-4.78,79,100,2.38,CN,1738272542
155,undurkhaan,47.3194,110.6556,-21.71,95,19,2.18,MN,1738272543
156,luena,-11.7833,19.9167,17.16,98,100,2.03,AO,1738272544
157,ardakan,32.31,54.0175,4.22,44,86,2.82,IR,1738272545
158,crane,31.3974,-102.3501,13.89,20,2,13.61,US,1738272546
159,nyurba,63.2842,118.3319,-39.88,100,89,1.16,RU,1738272547
160,monte santo,-10.4378,-39.3328,26.59,57,93,1.46,BR,1738272549
161,tidjikja,18.5564,-11.4271,21.02,13,0,5.63,MR,1738272550
162,thompson,55.7435,-97.8558,-22.91,64,20,3.6,CA,1738272551
163,vorkuta,67.5,64.0,-16.46,97,100,2.19,RU,1738272552
164,columbia falls,48.3725,-114.1815,-4.14,91,100,0.0,US,1738272554
165,talnakh,69.4865,88.3972,-21.22,99,100,3.85,RU,1738272556
166,rongelap,11.1635,166.8941,26.42,71,62,8.22,MH,1738272557
167,ichhawar,23.0167,77.0167,17.58,34,80,3.61,IN,1738272558
168,mejit,10.2753,170.8646,26.67,76,59,7.04,MH,1738272561
169,acapulco de juarez,16.8634,-99.8901,28.9,74,0,5.14,MX,1738272360
170,portland,45.5234,-122.6762,5.71,83,100,2.06,US,1738272168
171,bredasdorp,-34.5322,20.0403,21.04,60,0,5.37,ZA,1738272564
172,ust'-kulom,61.6864,53.6902,-4.67,96,100,2.9,RU,1738272566
173,ichinohe,40.2069,141.3017,-3.13,82,94,4.55,JP,1738272567
174,tual,-5.6667,132.75,28.97,76,94,6.72,ID,1738272568
175,hammerfest,70.6634,23.6821,-0.75,93,75,7.72,NO,1738272569
176,yellowknife,62.456,-114.3525,-27.71,91,100,1.03,CA,1738272570
177,kazanskoye,55.6448,69.235,-26.19,100,98,1.73,RU,1738272572
178,reyes,-14.3167,-67.3833,28.09,78,75,1.54,BO,1738272573
179,iskateley,67.6803,53.1512,-16.99,98,66,2.97,RU,1738272574
180,borgarnes,64.5383,-21.9206,0.11,84,100,1.17,IS,1738272576
181,newman,37.3138,-121.0208,13.92,69,0,0.45,US,1738272431
182,lihue,21.9789,-159.3672,24.85,88,100,7.72,US,1738272578
183,nanao,37.05,136.9667,1.04,90,100,1.09,JP,1738272579
184,boa esperanca,-21.09,-45.5658,20.37,97,100,2.51,BR,1738272581
185,pahrump,36.2083,-115.9839,13.8,22,0,1.34,US,1738272582
186,dondo,-19.6094,34.7431,22.26,86,75,1.81,MZ,1738272585
187,aykhal,66.0,111.5,-27.31,99,93,3.03,RU,1738272586
188,mount isa,-20.7333,139.5,27.87,61,0,2.57,AU,1738272388
189,lompoc,34.6391,-120.4579,16.5,61,75,4.63,US,1738272589
190,impfondo,1.6381,18.0667,24.02,26,36,1.18,CG,1738272590
191,robore,-18.3333,-59.75,34.05,52,75,0.0,BO,1738272591
192,nar'yan-mar,67.6713,53.087,-17.02,98,74,2.95,RU,1738272592
193,opuwo,-18.0607,13.84,23.52,47,98,4.47,NA,1738272594
194,masina,-4.3836,15.3914,23.29,91,98,1.06,CD,1738272595
195,ancud,-41.8697,-73.8203,16.73,79,2,7.49,CL,1738272596
196,bemidji,47.4736,-94.8803,4.05,56,0,2.06,US,1738272597
197,san clemente del tuyu,-36.3569,-56.7235,23.71,65,0,6.79,AR,1738272598
198,gharo,24.7424,67.5856,19.18,55,12,2.02,PK,1738272600
199,namibe,-15.1961,12.1522,23.14,79,82,3.81,AO,1738272601
200,tahe,52.3333,124.7333,-18.9,95,100,1.46,CN,1738272602
201,pathein,16.7833,94.7333,19.65,88,6,1.27,MM,1738272604
202,north bend,43.4065,-124.2243,10.7,76,100,2.06,US,1738272606
203,kosum phisai,16.2486,103.0674,18.21,58,7,0.77,TH,1738272607
204,pizhou,34.3114,117.9503,3.72,58,100,2.72,CN,1738272608
205,tshikapa,-6.4167,20.8,21.52,93,100,0.73,CD,1738272611
206,shenandoah,30.4013,-91.0009,25.05,76,94,3.58,US,1738272612
207,champerico,14.3,-91.9167,29.54,60,0,4.91,GT,1738272613
208,yakeshi,49.2833,120.7333,-34.61,100,100,1.32,CN,1738272614
209,xiaogan,30.9167,113.9,8.29,77,100,4.01,CN,1738272616
210,shibetsu,43.659,145.132,-2.07,84,100,8.23,JP,1738272617
211,mitsamiouli,-11.3847,43.2844,27.87,82,1,5.79,KM,1738272618
212,sitka,57.0531,-135.33,-0.06,69,75,4.12,US,1738272569
213,afaahiti,-17.75,-149.2833,26.5,77,24,7.46,PF,1738272621
214,pauini,-7.7136,-66.9764,25.39,88,94,0.4,BR,1738272622
215,puerto aysen,-45.4,-72.7,21.14,54,3,3.45,CL,1738272623
216,cabo san lucas,22.8909,-109.9124,22.64,39,0,4.63,MX,1738272624
217,selkirk,50.1436,-96.8845,-3.79,83,77,2.68,CA,1738272626
218,sora,41.7157,13.6141,6.99,78,86,1.45,IT,1738272627
219,xudat,41.631,48.681,5.36,86,1,0.1,AZ,1738272628
220,belmonte,-15.8631,-38.8828,24.87,80,48,3.1,BR,1738272629
221,farshut,26.0549,32.1633,15.17,42,5,3.21,EG,1738272631
222,gembu,6.7,11.2667,18.3,22,8,1.76,NG,1738272632
223,una,20.8167,71.0333,18.33,58,6,4.25,IN,1738272633
224,freetown,8.484,-13.2299,26.84,78,40,6.17,SL,1738272634
225,olonkinbyen,70.9221,-8.7187,-3.73,83,98,3.23,SJ,1738272636
226,palikir - national government center,6.9248,158.1611,27.47,78,100,6.69,FM,1738272637
227,aasiaat,68.7098,-52.8699,-12.21,65,65,6.36,GL,1738272639
228,luebo,-5.35,21.4167,21.64,97,100,0.56,CD,1738272641
229,amahai,-3.3333,128.9167,25.68,81,100,2.54,ID,1738272643
230,baoshan,46.5586,131.4244,-16.1,90,100,2.9,CN,1738272644
231,pimentel,-6.8367,-79.9342,26.16,61,0,10.29,PE,1738272645
232,tromso,69.6496,18.957,0.01,69,40,1.54,NO,1738272646
233,kodiak,57.79,-152.4072,-6.27,45,0,5.66,US,1738272648
234,kisoro,-1.2854,29.685,16.31,68,92,0.82,UG,1738272649
235,markovo,57.3206,107.0881,-36.96,100,43,0.24,RU,1738272650
236,fort bragg,35.139,-79.006,16.0,31,100,1.54,US,1738272651
237,soio,-6.1349,12.3689,26.23,79,85,2.13,AO,1738272652
238,selty,57.3132,52.1345,-1.08,97,100,2.53,RU,1738272654
239,curuzu cuatia,-29.7917,-58.0546,34.68,23,0,4.51,AR,1738272655
240,iyidere,41.0119,40.3619,10.67,56,4,1.51,TR,1738272656
241,nova sintra,14.8667,-24.7167,23.28,74,0,10.28,CV,1738272657
242,itoman,26.1247,127.6694,15.61,72,75,2.57,JP,1738272659
243,leninogorsk,54.6026,52.4609,-2.64,97,99,2.9,RU,1738272660
244,port mathurin,-19.6833,63.4167,26.86,82,94,9.0,MU,1738272661
245,remire-montjoly,4.9167,-52.2667,28.02,78,100,6.17,GF,1738272662
246,turtas,58.9417,69.1325,-28.46,100,88,0.57,RU,1738272664
247,qaqortoq,60.7167,-46.0333,-6.66,73,100,5.76,GL,1738272665
248,rosso,16.4986,-15.8153,24.67,10,1,6.36,SN,1738272666
249,kruisfontein,-34.0033,24.7314,19.99,81,0,2.81,ZA,1738272667
250,tengrela,10.4869,-6.4097,24.19,18,5,1.28,CI,1738272668
251,san patricio,28.017,-97.5169,22.97,71,100,6.1,US,1738272670
252,kenai,60.5544,-151.2583,-13.81,73,0,2.06,US,1738272576
253,ghadamis,30.1337,9.5007,13.69,26,0,5.71,LY,1738272672
254,howard springs,-12.497,131.047,23.95,100,100,2.21,AU,1738272673
255,shihezi,44.3,86.0333,-6.9,93,100,1.77,CN,1738272675
256,roma,43.2128,-75.4557,-1.84,52,75,2.57,US,1738272093
257,kununurra,-15.7667,128.7333,23.99,88,100,1.54,AU,1738272677
258,moengo,5.6167,-54.4,24.96,82,98,1.68,SR,1738272678
259,sur,22.5667,59.5289,20.6,59,0,4.92,OM,1738272679
260,vadso,70.0744,29.7487,-0.91,100,100,10.29,NO,1738272681
261,yung shue wan,22.2333,114.1167,18.12,57,72,8.64,HK,1738272682
262,puerto leguizamo,-0.1934,-74.7819,23.86,92,92,1.3,CO,1738272683
263,saudarkrokur,65.7461,-19.6394,0.33,87,100,4.99,IS,1738272684
264,queenstown,-31.8976,26.8753,22.37,78,57,0.83,ZA,1738272405
265,chudniv,50.052,28.1175,5.74,88,65,2.78,UA,1738272687
266,la passe,45.5549,-0.8967,7.0,82,100,5.7,FR,1738272688
267,laguna,38.421,-121.4238,14.02,66,0,3.6,US,1738272689
268,saint augustine beach,29.8505,-81.2654,20.59,72,0,2.57,US,1738272690
269,belinskiy,52.9647,43.4165,0.9,94,100,2.43,RU,1738272691
270,mahajanga,-15.7167,46.3167,27.08,85,11,2.41,MG,1738272693
271,al hamul,31.3115,31.1477,12.06,84,0,2.77,EG,1738272694
272,weno,7.4515,151.8468,28.44,74,91,10.1,FM,1738272695
273,kargasok,59.0556,80.8572,-28.47,100,29,1.63,RU,1738272697
274,guadalupe,25.6833,-100.25,24.31,57,40,4.12,MX,1738272698
275,eyl,7.9803,49.8164,22.4,80,7,7.04,SO,1738272699
276,santa terezinha,-29.9002,-50.0904,23.8,76,49,3.78,BR,1738272700
277,shagonar,51.5333,92.8,-16.99,97,100,0.27,RU,1738272702
278,broome,42.2506,-75.833,-0.75,56,100,3.09,US,1738272424
279,atafu village,-8.5421,-172.5159,28.38,74,93,7.36,TK,1738272704
280,vila velha,-20.3297,-40.2925,27.97,65,0,7.72,BR,1738272706
281,kokshetau,53.2775,69.3883,-25.35,100,100,1.9,KZ,1738272707
282,pokhara,28.2333,83.9833,12.3,46,22,2.09,NP,1738272708
283,udachny,66.4167,112.4,-31.7,98,98,1.85,RU,1738272709
284,montero,-17.3333,-63.25,25.45,88,100,0.98,BO,1738272712
285,mariental,-24.6333,17.9667,28.3,21,82,9.31,NA,1738272715
286,long beach,33.767,-118.1892,15.55,67,100,3.6,US,1738272657
287,seven pagodas,12.6264,80.1722,24.41,84,2,2.32,IN,1738272717
288,ak-dovurak,51.1833,90.6,-20.61,96,100,0.36,RU,1738272718
289,pemangkat,1.1667,108.9667,25.19,85,100,4.57,ID,1738272720
290,brisas de zicatela,15.8369,-97.0419,30.29,70,0,2.57,MX,1738272721
291,ilebo,-4.3167,20.5833,22.08,92,88,0.43,CD,1738272722
292,paradip garh,20.3167,86.6167,21.32,90,5,3.54,IN,1738272723
293,smithers,54.7804,-127.1743,-5.82,68,20,3.09,CA,1738272725
294,ad dindar,13.2,34.1667,24.06,25,0,4.97,SD,1738272726
295,arraial do cabo,-22.9661,-42.0278,27.92,65,75,6.17,BR,1738272727
296,lakatoro,-16.0999,167.4164,28.17,77,100,1.66,VU,1738272728
297,stanley,54.868,-1.6985,0.29,90,0,1.03,GB,1738272407
298,howrah,22.5892,88.3103,23.0,88,20,4.12,IN,1738272732
299,fisterra,42.9049,-9.2629,11.39,67,100,4.0,ES,1738272733
300,marsabit,2.3284,37.9899,21.41,50,2,3.03,KE,1738272734
301,yuzhno-sukhokumsk,44.6581,45.6436,3.4,97,1,2.99,RU,1738272735
302,inarajan village,13.2736,144.7484,27.11,76,100,10.71,GU,1738272737
